name,author,narrator,time,releasedate,language,stars,price,ratings
Die Armada der Irren,JensFischerRodrian,AllysonVoller,290.0,2022-03-28,german,0.0,468.0,0.0
A Man Without Breath,PhilipKerr,JonathanKeeble,895.0,2022-03-03,English,0.0,585.0,0.0
Crashing Through,RobertKurson,DougOrdunio,612.0,2007-04-30,English,5.0,1005.0,1.0
Nate the Great and the Earth Day Robot,AndrewSharmat,JohnLavelle,24.0,2021-05-25,English,0.0,100.0,0.0
Annabel,KathleenWinter,LaurenceBouvard,704.0,2011-10-06,English,0.0,752.0,0.0
Narrow Dog to Wigan Pier,TerryDarlington,SteveHodson,567.0,2012-12-20,English,0.0,683.0,0.0
蜘蛛の糸,芥川龍之介,伊藤治明,10.0,2022-02-25,japanese,0.0,139.0,0.0
Gangster Squad,PaulLieberman,RobertPetkoff,835.0,2012-07-08,English,0.0,181.0,0.0
Cyanide with Christie,KatherineBolgerHyde,CarolineShaffer,500.0,2019-05-11,English,4.0,773.0,1.0
No Place to Hide,GlennGreenwald,L.J.Ganser,589.0,2014-08-19,English,4.5,668.0,6.0
Beyond Compare,CandaceCamp,WillThorne,422.25771428571426,2020-07-07,English,0.0,703.0,0.0
Phantom Heart,KellyCreagh,"EmilyEllet,TomBerkeley,MichaelCrouch",822.0,2021-08-17,English,5.0,1382.0,1.0
Don't Mess with the Carter Boys,Desiree,MistyReign,553.0,2018-11-12,English,0.0,820.0,0.0
Working Girls,"Katt,Buck50Productions",iiKane,435.0,2018-01-05,English,0.0,820.0,0.0
Invest Like Warren Buffett,MatthewR.Kratter,MikeNorgaard,48.0,2017-01-20,English,5.0,132.0,5.0
Das Geheimnis der Schwestern,"SerenaValentino,EllenKurtz-Übersetzer",TanjaGeke,331.0,2021-04-10,german,0.0,300.0,0.0
Star Wars: Ahsoka,E.K.Johnston,AshleyEckstein,424.0,2016-11-10,English,5.0,1256.0,18.0
Traitor General,DanAbnett,TobyLongworth,665.0,2022-03-26,English,0.0,1138.0,0.0
Proper English,KJCharles,BellaLowe,441.0,2019-08-10,English,0.0,668.0,0.0
思い通りに人を動かすヤバい話し方,Dr.ヒロ,"岩崎了,Dr.ヒロ",269.0,2021-03-09,japanese,0.0,1255.0,0.0
Perfect Phrases for Setting Performance Goals,"DouglasMax,RobertBacal",FredFilbrich,200.0,2021-04-08,English,3.0,585.0,1.0
第398回 新刊ラジオ第2部プレミアム　,"矢島雅弘,石橋遊","矢島雅弘,石橋遊",16.0,2018-05-16,japanese,0.0,139.0,0.0
The Blind Man,D.H.Lawrence,PaulMetcalfe,42.0,2022-02-28,English,0.0,117.0,0.0
Hochgekämpft,"AhmedChaer,HussenChaer",EkoFresh,368.0,2022-02-22,german,0.0,669.0,0.0
The Easy Way for Women to Stop Smoking,AllenCarr,KarinaFernandez,498.0,2013-12-07,English,1.0,759.0,1.0
Rapunzel - Eventyrdagen,"Disney,TineS.Norbøll",AnnevigScheldeEbbe,57.0,2021-11-26,danish,0.0,166.0,0.0
The Learning Brain,TheGreatCourses,ProfessorThadA.PolkPhDCarnegieMellonUniversity,743.0,2018-05-25,English,4.5,1171.0,10.0
Kiss and Break Up,EllaFields,"KathrynLynhurst,BrandonUtah",567.0,2019-06-26,English,0.0,1172.0,0.0
Think Big,HaraldSeiz,DerekShetterly,339.0,2020-08-26,English,0.0,535.0,0.0
"Senator Sam Ervin, Last of the Founding Fathers",KarlE.Campbell,DavidStampone,894.0,2014-10-02,English,0.0,1003.0,0.0
Holding Still for as Long as Possible,ZoeWhittall,"StephenIra,KirstenPotter,RachelJacobs,",456.0,2020-05-26,English,0.0,1172.0,0.0
The Miracles of Exodus,ColinHumphreys,WilliamNeenan,798.0,2014-01-17,English,0.0,836.0,0.0
The Miracle,Osho,Osho,1001.0,2020-12-15,English,5.0,422.0,4.0
Arsène Lupin. La aguja hueca,MauriceLeblanc,DanielGarcía,425.0,2022-12-01,spanish,0.0,499.0,0.0
The Damaged,Tijan,"EmmaGalvin,JoeArden",539.0,2022-08-02,English,0.0,585.0,0.0
The Real Santa,NancyRedd,TorianBrackett,6.0,2021-10-26,English,0.0,251.0,0.0
The Hunted One,BrittneySahin,"TylerJohnson,AvaLucas",710.0,2021-12-13,English,0.0,836.0,0.0
Vaffanguru,KaBizzarro,JacopoCalatroni,78.0,2021-06-17,italian,0.0,113.0,0.0
Uncommon Courage,JuliaJones,MarkMeadows,779.0,2022-03-17,English,0.0,1215.0,0.0
Cave of Wonders,MattKirby,DionGraham,262.0,2013-01-09,English,0.0,434.0,0.0
Alfred Hitchcock and the Making of Psycho,StephenRebello,RichardPowers,498.0,2012-01-12,English,0.0,702.0,0.0
Turbulent Intrigue,MelodyAnne,TeriClarkLinden,480.0,2017-01-08,English,5.0,539.0,2.0
Return to Celebration House,AnnetteDrake,TeriClarkLinden,369.0,2020-10-13,English,0.0,1172.0,0.0
The Nighttime Cabin Thief,LyndaBeauregard,Intuitive,19.0,2017-06-23,English,0.0,164.0,0.0
Mary Marie,EleanorH.Porter,AnneHancock,405.0,2020-05-28,English,0.0,526.0,0.0
La strada,HowardPhillipsLovecraft,librinpillole,19.0,2021-09-17,italian,0.0,113.0,0.0
Henry Ford,IlandaiSuRamasamy,AbdulJabbar,380.0,2008-09-01,tamil,4.5,468.0,5.0
The Chime Seekers,RossMontgomery,ChrisDevon,487.0,2021-04-11,English,0.0,645.0,0.0
Bloß nicht den Kopf verlieren!,SergioDudli,"MariusClarén,DirkPetrick",594.0,2022-03-16,german,0.0,367.0,0.0
The Age of Unpeace,MarkLeonard,MarkLeonard,400.0,2021-02-09,English,5.0,888.0,1.0
Deception,EdwardLucas,DavidColacci,734.0,2013-09-03,English,0.0,1003.0,0.0
Corso di SyncWave®,EricEdwards,FrancescaDiModugno,163.0,2022-01-03,italian,0.0,152.0,0.0
Spiraling Upward,WendyWallbridge,CyndeeMaxwell,496.0,2015-04-13,English,0.0,656.0,0.0
A Politically Incorrect Feminist,PhyllisChesler,PhyllisChesler,727.0,2018-08-28,English,0.0,181.0,0.0
Il mio viaggio a New York,PieroArmenti,AlessioMizzan,487.0,2021-03-03,italian,0.0,574.0,0.0
Nine Lives,DanielleSteel,AlexanderCendese,392.0,2021-07-13,English,0.0,645.0,0.0
"How Not to Die by Michael Greger, MD with Gene Stone - Book Summary","DeanBokhari,FlashBooks",DeanBokhari,36.0,2021-08-01,English,5.0,211.0,1.0
Lucky in Cyprus,Allan'Lucky'Cole,BenMcLean,904.0,2017-01-11,English,0.0,234.0,0.0
Fariña,NachoCarretero,HumbertoSolorzano,555.0,2019-08-02,spanish,0.0,691.0,0.0
Enticed by the Corsair,RubyDixon,"HollieJackson,MasonLloyd",257.0,2018-12-18,English,3.0,469.0,1.0
Victory for the Ops Room Girls,VickiBeeby,EleanorYates,553.0,2021-01-08,English,0.0,1063.0,0.0
Не буду просить прощения,СофьяЛеонидовнаПрокофьева,ЛюбовьПоволоцкая,45.0,2021-12-30,russian,0.0,99.0,0.0
A Midterm Night's Scheme,TrinaRobbins,BookBuddyDigitalMedia,24.0,2017-06-27,English,0.0,469.0,0.0
The Eye of the I,DavidR.HawkinsMDPhD,PeterLowndsPhD,857.0,2020-01-09,English,5.0,562.0,1.0
The Goose That Laid the Golden Egg,"MarkWhite,SaraRojoPérez",anonymous,3.0,2022-03-28,English,0.0,82.0,0.0
The Truth About Witches,"EricBraun,RobertSquier",anonymous,6.0,2022-03-24,English,0.0,93.0,0.0
Feels like Forever,SarahHeine,UllaWagener,632.0,2021-12-23,german,0.0,568.0,0.0
