name,author,narrator,time,releasedate,language,stars,price
Die Armada der Irren,Writtenby:JensFischerRodrian,Narratedby:AllysonVoller,4 hrs and 50 mins,28-03-22,german,Not rated yet,468.00
A Man Without Breath,Writtenby:PhilipKerr,Narratedby:JonathanKeeble,14 hrs and 55 mins,03-03-22,English,Not rated yet,
Crashing Through,Writtenby:RobertKurson,Narratedby:DougOrdunio,10 hrs and 12 mins,30-04-07,English,5 out of 5 stars1 rating,"1,005.00"
Nate the Great and the Earth Day Robot,Writtenby:AndrewSharmat,Narratedby:JohnLavelle,24 mins,25-05-21,English,Not rated yet,100.00
Annabel,Writtenby:KathleenWinter,Narratedby:LaurenceBouvard,11 hrs and 44 mins,10-06-11,English,Not rated yet,752.00
Narrow Dog to Wigan Pier,Writtenby:TerryDarlington,Narratedby:SteveHodson,9 hrs and 27 mins,20-12-12,English,Not rated yet,683.00
蜘蛛の糸,Writtenby:芥川龍之介,Narratedby:伊藤治明,10 mins,25-02-22,japanese,Not rated yet,139.00
Gangster Squad,Writtenby:PaulLieberman,Narratedby:RobertPetkoff,13 hrs and 55 mins,07-08-12,English,Not rated yet,181.00
Cyanide with Christie,Writtenby:KatherineBolgerHyde,Narratedby:CarolineShaffer,8 hrs and 20 mins,05-11-19,English,4 out of 5 stars1 rating,773.00
No Place to Hide,Writtenby:GlennGreenwald,Narratedby:L.J.Ganser,9 hrs and 49 mins,19-08-14,English,4.5 out of 5 stars6 ratings,668.00
Beyond Compare,Writtenby:CandaceCamp,Narratedby:WillThorne,,07-07-20,English,Not rated yet,703.00
Phantom Heart,Writtenby:KellyCreagh,"Narratedby:EmilyEllet,TomBerkeley,MichaelCrouch",13 hrs and 42 mins,17-08-21,English,5 out of 5 stars1 rating,"1,382.00"
Don't Mess with the Carter Boys,Writtenby:Desiree,Narratedby:MistyReign,9 hrs and 13 mins,11-12-18,English,Not rated yet,820.00
Working Girls,"Writtenby:Katt,Buck50Productions",Narratedby:iiKane,7 hrs and 15 mins,01-05-18,English,Not rated yet,820.00
Invest Like Warren Buffett,Writtenby:MatthewR.Kratter,Narratedby:MikeNorgaard,48 mins,20-01-17,English,5 out of 5 stars5 ratings,132.00
Das Geheimnis der Schwestern,"Writtenby:SerenaValentino,EllenKurtz-Übersetzer",Narratedby:TanjaGeke,5 hrs and 31 mins,04-10-21,german,Not rated yet,300.00
Star Wars: Ahsoka,Writtenby:E.K.Johnston,Narratedby:AshleyEckstein,7 hrs and 4 mins,11-10-16,English,5 out of 5 stars18 ratings,"1,256.00"
Traitor General,Writtenby:DanAbnett,Narratedby:TobyLongworth,11 hrs and 5 mins,26-03-22,English,Not rated yet,"1,138.00"
Proper English,Writtenby:KJCharles,Narratedby:BellaLowe,7 hrs and 21 mins,08-10-19,English,Not rated yet,668.00
